material,rmse,mae,r2,phonon_rmse,phonon_mae,phonon_scaled_rmse,phonon_rrmse,rmsd,maxd,spacegroup,benchmark_spacegroup,min_frequency,benchmark_min_frequency,max_frequency,benchmark_max_frequency,mean_frequency,benchmark_mean_frequency,volume,benchmark_volume,heat_capacity,benchmark_heat_capacity,entropy,benchmark_entropy,free_energy,benchmark_free_energy,k_diff_high_temp_limit,benchmark_k_diff_high_temp_limit
mp-1000,0.1932038673031498,0.167066724762189,0.9405212323866812,0.1983545315905329,0.1784498580385601,0.127632836361989,0.0542491258048768,1.2971018916590966e-16,1.2971018916590966e-16,Fm-3m (225),Fm-3m (225),-5.717234565765688e-05,-0.0052649812009554,3.2616971253958487,3.654733987781135,2.329437909622556,2.258976753345469,86.76046621914846,89.06389848351535,49.38677713303184,49.30318517319878,108.0308614667932,103.5611722493738,-17.292416271186692,-15.926156650196036,0.1830564530939603,0.1759755743375849
mp-1100425,0.6628424053749267,0.4647036683520004,0.9756892123241822,0.5685468486128096,0.4225792017155166,0.5581470246553625,0.0897132696021598,1.9483686514902628e-15,2.3987113843992844e-15,F-43m (216),F-43m (216),-1.1482463338479203,-0.6241039159048516,10.51116178518672,10.628354679747,4.986335486372397,4.748154297239478,69.1706683374952,67.90372906255325,59.47289901578707,66.95896100164893,114.53102833438368,128.90526547099293,-13.268504035440476,-15.175264719149313,0.4837405053493091,0.4634809602398583
mp-1103235,0.3340379820237855,0.268723360187914,0.8939814461766684,0.3349628457376475,0.2719572895616562,0.2504580302467513,0.0848715619199837,0.0028422064444363,0.0034809777662604,Pa-3 (205),Pa-3 (205),-5.2473071048893e-05,-0.0389426562911536,4.250881513915748,4.433961787601793,2.6146438251454374,2.7716537986920686,294.7875536105711,291.97265702033127,294.8322619544062,293.84768840505853,597.2423932283237,570.0352915364464,-88.01783821907595,-79.55518312527333,0.2483520611566589,0.2641090006537157
mp-11217,0.6607301472949592,0.5389008435852422,0.9014984470565284,0.5961804104755847,0.5033492962348346,0.5934612803658315,0.2154013536078771,1.7760188106817512e-14,3.399605388114731e-14,P6_3/mmc (194),P6_3/mmc (194),-2.283257219715745,-1.6822971583360782,4.590908867789818,4.629798974479803,2.8442816095198173,2.9416896026663872,172.6104483351467,173.50090074991516,91.66881294661844,102.10722250127525,185.4638093671861,201.84395961260705,-26.990045185312248,-28.543257386077865,0.2563097819968764,0.2646333344547798
mp-1147715,0.5679022414276963,0.4800678327598899,0.9262530860114314,0.5364560510283379,0.4723006813458702,0.2723549668036231,0.0570284747005247,0.0018962755022139,0.0036681738356932,P4/nmm (129),P4/nmm (129),-0.0001248680569116,-0.3813622479998563,7.901823246843369,8.591736567620227,4.189533550522756,4.325871765476962,183.8204264580324,184.2877676027072,192.0129593877988,190.1639168460024,327.09561996636444,302.83818729614995,-35.94038083506619,-28.165111901039182,0.4069074205805597,0.4197937791406366
mp-1201,0.2935908508879943,0.2460470237702343,0.9313044958089408,0.2512589116086511,0.2196430681482977,0.2015334097401401,0.075210374772328,0.0171201448839834,0.0238049541665434,R-3m (166),R-3m (166),-2.695410276380973e-05,-0.8336804573393584,4.761683049038012,5.477064013796884,2.6183200321553364,2.498072225883888,173.40380404041846,170.333546125073,123.12397034355094,122.61555565021904,263.6023255155975,250.8046076234575,-41.18373012092566,-37.32147872971567,0.2216959304416874,0.2127777085975045
mp-1205316,0.3037823021211738,0.2671075864553447,0.910832944074922,0.2926803638354864,0.260271450289315,0.2360666149890532,0.0872913879695277,5.467345802087841e-15,7.169434636845e-15,P6_3/mmc (194),P6_3/mmc (194),-7.188404737102726e-05,-0.0057362907984739,4.304405350893648,4.493145915478298,2.3626688064478576,2.5180442989774843,195.685984309094,194.8744625135383,147.68976799626034,147.36068132641378,318.4152607773746,298.33909419792,-50.0293172827771,-43.90675762467777,0.2041884732928771,0.2179181170161288
mp-1217291,0.30571807802346,0.2466557878494639,0.8906041403673919,0.3046094855066069,0.2569028821956274,0.1986723901198946,0.0886382218674353,0.0003171948610601,0.0004485812744366,R-3m (166),R-3m (166),-9.85879691400138e-05,-0.0035505393786344,3.755691422529688,4.336378167887299,2.097828068012767,2.0759651065217084,130.21386125380172,130.4646984154928,98.9350860846094,98.71517601785938,233.7313789262654,219.73731563120137,-39.93427975447642,-35.66945220550674,0.1814131152594177,0.1794073534693667
mp-1224350,0.2715089408822819,0.2241579778616616,0.9506637072543176,0.2297385711042247,0.203184436607274,0.1233499816115725,0.0432600318202542,0.0214840522338597,0.0320110111084331,R3m (160),R3m (160),-5.68195449778262e-05,-1.228678809260983,5.098817909997329,5.420925472708302,2.590736475129777,2.6410205628958687,229.2303036158657,225.52488725237387,172.0218603001933,171.4191848497347,358.3560974546907,343.0072510513093,-54.34345789019193,-49.67940798821441,0.2235955251943527,0.2291768975266284
mp-12360,0.3081457875501395,0.2564344467019285,0.8976407607333634,0.2583618346647657,0.2270780063453105,0.2429991974253199,0.1004742447371421,0.00077201840458,0.0010917988981632,R-3m (166),R-3m (166),-0.5201192818218949,-1.145820754854052,4.457069723373932,4.499096152212625,2.0746863258693446,2.275475988464298,114.96192249097582,114.453203026715,98.46572049510544,98.44456368422264,220.2818032130468,208.9627056167201,-35.923930383849886,-32.41397629792563,0.1870189583540441,0.20542224373294
mp-14017,0.1898012021545848,0.1387851204036782,0.9677302433370648,0.1721406475900436,0.1327490743911659,0.1630089669599219,0.0630936805119918,0.002273289080827,0.0032149162493006,P6_3/mmc (194),P6_3/mmc (194),-9.218652419568084e-05,-0.571900351284187,4.099200497821158,4.126858119730462,2.2987758337041897,2.376683147780648,349.5560017719037,353.42585087611906,196.9637551868032,196.07929133674725,421.93010304811753,415.8593970816769,-65.93324019062821,-64.24479856242017,0.180212770021258,0.1856377843783807
